Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
53575067,Invisible Solutions: 25 Lenses that Reframe and Help Solve Difficult Business Problems,Stephen M. Shapiro,"Shapiro, Stephen M.",,1645431878,9781645431879,5,4.09,Amplify Publishing,Kindle Edition,131,2020,,2/20/2022,2/13/2022,,,read,,,,1,0
44300042,Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,"Scott, Kim Malone",,,,5,4.08,St. Martin's Press,Kindle Edition,272,2019,2017,2/12/2022,2/5/2022,,,read,,,,1,0
30227731,High Performance Habits: How Extraordinary People Become That Way,Brendon Burchard,"Burchard, Brendon",,1401952852,9781401952853,5,4.13,Hay House Inc.,Hardcover,393,2017,2017,,12/21/2019,to-read,to-read (#19),to-read,,,,1,0
25780637,"Improve Your Conversations: Think On Your Feet, Witty Banter, and Always Know What To Say with Improv Comedy Techniques (Social Skills, Small Talk, and Communication Skills Mastery)",Patrick King,"King, Patrick",,,,0,3.62,Plain Key Media,Kindle Edition,94,2015,2015,,1/30/2022,to-read,to-read (#18),to-read,,,,0,0
37811374,"Imagine It Forward: Courage, Creativity, and the Power of Change",Beth Comstock,"Comstock, Beth",Tahl Raz,0451498291,9780451498298,0,3.81,Currency,Hardcover,389,2018,2018,,1/30/2022,currently-reading,currently-reading (#4),currently-reading,,,,1,0
41795733,Range: Why Generalists Triumph in a Specialized World,David   Epstein,"Epstein, David",,0735214484,9780735214484,5,4.14,Riverhead Books,Hardcover,352,2019,2019,1/29/2022,12/21/2019,,,read,,,,2,0
4865,How to Win Friends and Influence People,Dale Carnegie,"Carnegie, Dale",,,,0,4.22,Gallery Books,Paperback,288,1998,1936,,1/26/2022,currently-reading,currently-reading (#3),currently-reading,,,,1,0
15014,Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,"Patterson, Kerry","Stephen R. Covey, Joseph Grenny, Ron McMillan, Al Switzler",0071401946,9780071401944,5,4.06,McGraw-Hill,Paperback,240,2002,2002,1/26/2022,12/21/2019,,,read,,,,2,0
36533161,Your Oxygen Mask First: 17 Habits to Help High Achievers Survive & Thrive in Leadership & Life,Kevin N. Lawrence,"Lawrence, Kevin N.",,1619617846,9781619617841,5,3.95,Lioncrest Publishing,Kindle Edition,232,2017,,1/23/2022,1/15/2022,,,read,,,,1,0
42526184,The Proverb Effect: Secrets to Creating Tiny Phrases that Change the World,Ron Ploof,"Ploof, Ron",,,,5,4.23,"OC New Media, LLC",Kindle Edition,202,2018,,1/15/2022,12/28/2021,,,read,,,,1,0
23253698,"Playing Big: Practical Wisdom for Women Who Want to Speak Up, Create, and Lead",Tara Mohr,"Mohr, Tara",,069816217X,,5,4.19,Avery,Kindle Edition,300,2014,2014,1/15/2022,1/1/2022,,,read,,,,1,0
58428285,The Experience Maker: How to Create Remarkable Experiences That Your Customers Can’t Wait to Share,Dan Gingiss,"Gingiss, Dan",,1631954628,9781631954627,5,4.17,Morgan James Publishing,Kindle Edition,220,2021,,12/28/2021,12/26/2021,,,read,,,,1,0
59719905,Strategy: For the Small Business,Matt D.M. Watson,"Watson, Matt D.M.",,,,0,0,,Kindle Edition,217,2021,,,11/28/2021,currently-reading,currently-reading (#2),currently-reading,,,,1,0
58062112,Find Your Red Thread: Make Your Big Ideas Irresistible,Tamsen Webster,"Webster, Tamsen",,1774580535,9781774580530,5,4.3,,Kindle Edition,238,2021,,11/28/2021,11/22/2021,,,read,,,,1,0
59241015,"RULE THE WORLD: Master the power of storytelling to, inspire, influence and succeed",Paul Furlong,"Furlong, Paul",,1914560078,9781914560071,5,4.2,Fisher King Publishing,Kindle Edition,217,2021,,11/21/2021,10/8/2021,,,read,,,,1,0
53646755,Forever Employable: How to Stop Looking for Work and Let Your Next Job Find You,Jeff Gothelf,"Gothelf, Jeff",,,,5,3.7,Gothelf Corp,Kindle Edition,108,2020,,10/18/2021,9/9/2021,,,read,,,,1,0
34555004,"Improve Your Conversations: Think on Your Feet, Witty Banter, and Always Know What To Say with Improv Comedy Techniques",Patrick King,"King, Patrick",,,,0,3.62,,Kindle Edition,166,2017,2015,,8/8/2021,currently-reading,currently-reading (#1),currently-reading,,,,1,0
53780598,Shine On: Empowering Affirmations for Extraordinary Women,Doreen Caven,"Caven, Doreen",,1646115481,9781646115488,5,4.29,Rockridge Press,Kindle Edition,143,2020,,7/17/2021,7/11/2021,,,read,,,,1,0
56045471,"Speak Up, Sister!: The Professional Woman's Guide to Confidence and Success",Jamie Dandar McKinney,"McKinney, Jamie Dandar",,1733307842,9781733307840,5,4.27,"Kingdom Publishing, LLC",Kindle Edition,280,2020,,7/11/2021,7/4/2021,,,read,,,,1,0
18908425,"Improv Wisdom: Don't Prepare, Just Show Up",Patricia Ryan Madson,"Madson, Patricia Ryan",,,,5,4,Harmony,Kindle Edition,162,2010,2005,6/27/2021,5/23/2021,,,read,,,,1,0
28229410,Improv Is No Joke: Using Improvisation to Create Positive Results in Leadership and Life,Peter A. Margaritis,"Margaritis, Peter A.",,,,5,3.75,Advantage Media Group,Kindle Edition,144,2015,,5/23/2021,5/18/2021,,,read,,,,1,0
